repo_id,repo_full_name,early_4week_stars,early_avg_weekly_stars,early_max_weekly_stars,later_stars,later_avg_weekly_stars,became_high_growth,language,topics,stars_count,forks_count,watchers_count,open_issues_count,created_at,updated_at,pushed_at,archived,is_fork,license,html_url,topic_count,has_ai_topic,has_ml_topic,has_deep_learning_topic,has_data_science_topic,has_web_topic,has_llm_topic,early_to_total_star_ratio,early_peak_to_average_ratio,forks_per_star,issues_per_star
133442384,denoland/deno,1500,1500.0,1500,0.0,0.0,0,Rust,deno|javascript|rust|typescript,107055,6065,107055,1356,2018-05-15T01:34:26Z,2026-06-13T20:46:41Z,2026-06-13T19:27:11Z,0,0,MIT,https://github.com/denoland/deno,1,0,0,0,0,1,0,0.014011358541324168,0.9993337774816788,0.056652593035420716,0.012666268121357047
135614069,sudheerj/reactjs-interview-questions,17,4.25,6,1483.0,43.61764705882353,1,JavaScript,interview-preparation|interview-questions|javascript|javascript-applications|javascript-framework|javascript-interview-questions|react|react-interview-questions|react-native|react-router|react16|reactjs|redux,44642,10370,44642,15,2018-05-31T17:17:01Z,2026-06-13T18:00:38Z,2026-04-27T15:17:39Z,0,0,MIT,https://github.com/sudheerj/reactjs-interview-questions,1,0,0,0,0,1,0,0.0003807987814438994,1.1428571428571428,0.23228725668077863,0.00033599892480344065
135786093,typescript-cheatsheets/react,829,207.25,376,671.0,39.47058823529411,1,TypeScript,cheatsheet|guide|react|typescript,47066,4292,47066,0,2018-06-02T04:08:16Z,2026-06-13T14:20:58Z,2026-05-29T19:52:44Z,0,0,MIT,https://github.com/typescript-cheatsheets/react,1,0,0,0,0,1,0,0.017613189708288186,1.8055222088835534,0.09118915588416512,0.0
139824423,Avik-Jain/100-Days-Of-ML-Code,200,50.0,116,1300.0,1300.0,1,Unknown,100-days-of-code-log|100daysofcode|deep-learning|implementation|infographics|linear-algebra|linear-regression|logistic-regression|machine-learning|machine-learning-algorithms|naive-bayes-classifier|python|scikit-learn|siraj-raval|siraj-raval-challenge|support-vector-machines|svm|tutorial,51241,11540,51241,68,2018-07-05T09:11:43Z,2026-06-13T17:57:44Z,2023-12-29T07:57:53Z,0,0,MIT,https://github.com/Avik-Jain/100-Days-Of-ML-Code,1,1,1,1,0,0,0,0.0039030482807072323,2.2745098039215685,0.2252058857968073,0.001327036415440459
155220641,huggingface/transformers,1500,375.0,924,0.0,0.0,0,Python,audio|deep-learning|deepseek|gemma|glm|hacktoberfest|llm|machine-learning|model-hub|natural-language-processing|nlp|pretrained-models|python|pytorch|pytorch-transformers|qwen|speech-recognition|transformer|vlm,161564,33496,161564,2435,2018-10-29T13:56:00Z,2026-06-13T20:11:21Z,2026-06-13T18:11:29Z,0,0,Apache-2.0,https://github.com/huggingface/transformers,1,1,1,1,0,0,1,0.00928418902608857,2.4574468085106385,0.20732213041190853,0.015071333519017113
156157055,GokuMohandas/Made-With-ML,1500,375.0,1494,0.0,0.0,0,Jupyter Notebook,data-engineering|data-quality|data-science|deep-learning|distributed-ml|distributed-training|llms|machine-learning|mlops|natural-language-processing|python|pytorch|ray,48019,7553,48019,25,2018-11-05T03:44:27Z,2026-06-13T20:40:54Z,2026-03-04T23:44:21Z,0,0,MIT,https://github.com/GokuMohandas/Made-With-ML,1,1,1,1,1,0,1,0.03123698458975427,3.973404255319149,0.15728862973760932,0.0005206164098292378
159152904,jeecgboot/JeecgBoot,155,38.75,95,1345.0,103.46153846153848,1,Java,activiti|agent|ai|antd|claude-code|cli|codegenerator|codex|flowable|langchain4j|llm|low-code|mcp|mybatis-plus|rag|skills|spring-ai|springboot|springcloud|vue3,46727,16050,46727,32,2018-11-26T10:40:00Z,2026-06-13T19:00:23Z,2026-06-13T02:08:37Z,0,0,Apache-2.0,https://github.com/jeecgboot/JeecgBoot,1,1,0,0,0,0,1,0.0033170689950350967,2.389937106918239,0.34347714432460197,0.000684814244136278
160919119,fastapi/fastapi,69,17.25,25,1431.0,119.25,1,Python,api|async|asyncio|fastapi|framework|json|json-schema|openapi|openapi3|pydantic|python|python-types|python3|redoc|rest|starlette|swagger|swagger-ui|uvicorn|web,99170,9432,99170,94,2018-12-08T08:21:47Z,2026-06-13T19:32:25Z,2026-06-13T18:22:49Z,0,0,MIT,https://github.com/fastapi/fastapi,1,0,0,0,0,1,0,0.0006957679160238376,1.36986301369863,0.09510844904256284,0.0009478577406701556
162998479,sherlock-project/sherlock,1500,750.0,1096,0.0,0.0,0,Python,cli|cti|cybersecurity|forensics|hacktoberfest|information-gathering|infosec|linux|osint|pentesting|python|python3|reconnaissance|redteam|sherlock|tools,84961,9924,84961,286,2018-12-24T14:30:48Z,2026-06-13T19:16:12Z,2026-06-13T06:30:41Z,0,0,MIT,https://github.com/sherlock-project/sherlock,1,1,0,0,0,0,0,0.017654951625432545,1.459387483355526,0.11680515995386173,0.003366210776582472
163591278,GitHubDaily/GitHubDaily,1096,274.0,559,404.0,202.0,0,Unknown,ai|algorithms-and-data-structures|backend|developer-tools|development|frontend|github|java|javascript|kubernetes|linux|markdown|open-source|python|tutorials|web,46766,4640,46766,642,2018-12-30T13:56:58Z,2026-06-13T16:14:14Z,2025-12-31T18:59:20Z,0,0,No License,https://github.com/GitHubDaily/GitHubDaily,1,1,0,0,0,1,0,0.023435328329805206,2.0327272727272727,0.09921525862253298,0.013727628455962537
